Ticker,Last,Change %,Gap %,Relative Volume,Shares Float,Exponential Moving Average (200),Simple Moving Average (200),Pre-market Change %,Change from Open,Change from Open %,Change,Volume,Average Volume (30 day)
TACT,10.32,0.4379562,-0.4379562,0.22909507,7034696,10.519273,10.48177,,0.09,0.8797654,0.045,200,30981.467
OTIC,2.28,0.44052863,-0.44052863,2.773925,28381908,2.3315947,2.345543,,0.02,0.88495576,0.01,800,82977.6
CAAS,2.5,0.40160644,-0.44176707,2.1620913,12386451,2.2558188,2.202348,,0.021,0.84711576,0.01,3300,38563.934
DLNG,4.4,0.22779043,-0.45330295,4.292453,19895000,4.486102,4.479309,,0.0299,0.68419486,0.01,6370,230837.7
NITE,14.86,0.06397091,-0.4747315,1.6162549,27819708,15.075251,15.132175,,0.08,0.541272,0.0095,700,166548.77
PZG,1.02,0.009804883,-0.48043925,0.08937349,15230801,1.0492911,1.049684,,0.005,0.49261084,0.0001,700,18111.666
GMDA,14.4303,0.071428575,-0.48335645,4.4272447,12376353,13.595238,13.761702,,0.08,0.5574796,0.0103,715,
EIGR,9.93,0.3030303,-0.5555556,1.9808834,18797616,9.761298,9.78305,,0.085,0.8633824,0.03,1803,162963.2
MBRX,1.3799,0.8182947,-0.63563967,3.3895237,20190578,1.3651603,1.360594,,0.0199,1.4632353,0.0112,3559,134198.7
YECO,5.83,0.5259074,-0.6810932,0.049719088,1090079,5.7721257,5.7651024,,0.07,1.2152778,0.0305,4925,2810558.8
CHRA,6.43,0.15576324,-0.7788162,0.7093608,27852860,6.550959,6.5630074,,0.06,0.9419152,0.01,1214,60219.668
WTT,1.68,0.9009009,-0.9009009,1.9821241,17949058,1.7326051,1.743697,,0.03,1.8181819,0.015,1508,21449.9
TAT,1.02,0.019611688,-0.9609727,0.20597322,29721064,1.0152099,1.0111293,,0.01,0.990099,0.0002,5400,113027.43
TGLS,9.21,0.21762785,-0.97932535,1.1997601,14033304,8.797837,8.762353,,0.11,1.2087913,0.02,400,30708.334
EVOK,2.555,0.5905512,-3.1496062,0.042450227,16437882,2.5193622,2.5061574,,0.095,3.8617885,0.015,2836,40280.633
CARV,4.4228,2.6171694,-3.712297,4.82409,1367269,4.450457,4.4256535,,0.2728,6.573494,0.1128,4758,24238.8
AAME,2.8225,2.872034,-4.8729815,1.5789474,3980241,3.0224037,3.135672,,0.2125,8.141763,0.0788,600,5382.033
